0/22,Name,Nickname,Alias 1,Alias 2,Alias 3,Race,Actor,Menu Order
FALSE,Dorephan,"King of the Zora
Former King of the Zora","The ruler of Zora's Domain for the last several centuries. While assisting Hyrule during the Calamity a hundred years ago, he lost his daughter, the Champion Mipha. He overcame his sorrow to help Link defeat the Calamity.

He was recently injured when a figure resembling Zelda set a monster upon him. He is spending time away from the domain to recuperate.","The former king of Zora's Domain. While assisting Hyrule during the Calamity a hundred years prior, his daughter, the Champion Mipha, fell in battle. With an open mind and heart, he overcame his grief and helped Link finally defeat the Calamity.

After his son, Sidon, proved himself worthy by putting an end to the foul sludge terrorizing the domain, he at last passed his crown to him and became the Exalted Dorephan.",-,Zora,Npc_Zora003,11
FALSE,Yunobo,"YunoboCo President
The Sage of Fire","A young Goron who once saved his home with Link. After helping Goron City, he turned his attention to mining the ore made accessible when Death Mountain stopped erupting. He formed YunoboCo from a group of admirers in order to bring continued prosperity to his people.

He was once a kind and compassionate young Goron...","A young Goron with big ambitions. After saving Goron City with Link, he turned his attention to the ore made accessible when Death Mountain stopped erupting. He formed YunoboCo with a group of people who look up to him, to help the Gorons continue to prosper through mining.

After his suspicious mask was removed, he returned to his compassionate self.","A longtime ally of Link's who inherited a secret stone and awakened as the Sage of Fire.

Shamed by his part in the uproar over marbled rock roast, he is eager to use YunoboCo to help Gorons and restore the trust of his supporters.",Goron,Npc_Goron020,12
FALSE,Riju,"Chief of the Gerudo
The Sage of Lightning","The Gerudo leader. She once fought by Link's side astride her trusty sand seal, Patricia, to save the Gerudo Desert.

She became chief at a young age following her mother's death, so she works hard to prove herself. Focused on saving her home from a new threat, she's dedicated to mastering her newly discovered lightning powers.","After fighting beside Link once again, she inherited a secret stone and awakened as the Sage of Lightning.

Under her increasingly confident leadership, Gerudo Town was freed from the threat of the Gibdos and the sand shroud. Though the Gerudo have returned to the surface, men are still barred from the town—Link, who has earned their trust, is the sole exception.",-,Gerudo,Npc_oasis003,13
FALSE,Buliara,Gerudo Captain of the Guard,"A strong warrior who guards Chief Riju. She is familiar with Link from his previous visits.

One glance at her giant claymore deters most troublemakers. Her concern for Riju is one of the few things that softens the stern demeanor she shows her soldiers.",-,-,Gerudo,Npc_oasis007,14
FALSE,Rhondson and Hudson,The Owners of Hudson Construction,"This married couple runs the company that has been key to projects during the long reconstruction of Hyrule, including the creation of Lookout Landing and the Skyview Towers.

Hudson has unparalleled skill as a builder, and together with the Gerudo tailor Rhondson, they helped found Tarrey Town. They also have a daughter named Mattison.",-,-,Gerudo and Hylian,Npc_HatenoVillage031,15
FALSE,Tauro,Zonai Survey Team Leader,"An explorer whose passion for field research is unrivaled. He lives to make big discoveries, and he spent a long time traveling solo, investigating ruins. He is also an expert in reading Zonai writing. Princess Zelda found him to be the perfect choice for leading the Zonai Survey Team.",-,-,Hylian,Npc_AncientAssistant003_K1,16
FALSE,Hestu,Spirited Musician of Korok Forest,"A tree fairy with a song in his heart. He is only visible to certain people.

The power of his dance can increase the size of Link's pouches, but he has trouble keeping track of the Korok seeds his magical maracas require.",-,-,Korok,Npc_OldKorok,17
FALSE,Deku Tree,Great Spirit of Korok Forest,"A great tree spirit who has stood long vigil over Korok Forest and the sword that seals the darkness.

An old friend of Princess Zelda and Link, he gently guided their efforts against the Calamity. To the Koroks living in the forest, he is both a father figure and a home.",-,-,Korok,TwnObj_Village_Korok_DekuTree_A_01,18
FALSE,Rauru,"Source of the Right Arm
Founding King","Someone who shares a name with the first king of Hyrule. He claims the strange arm Link finds himself with was once his.

 He and Zelda appeared to Link in a vision. Learning more about him may lead to clues about the princess's disappearance...","Someone who shares a name with the first king of Hyrule. He claims the strange arm Link finds himself with was once his.

Before he disappeared, leaving more questions than answers, he also said that he'd learned of Link's existence from Princess Zelda.","The first king of Hyrule. The strange arm was once his.

As king, he did not hesitate to risk his own life for his people. After Zelda traversed time to the era of Hyrule's founding, he worked with her and the other five sages to imprison the Demon King.",Zonai,Dm_Npc_Raul,19
FALSE,Mineru,The Sage of Spirit,"Elder sister of Rauru. She helped her brother, the source of Link's right arm, fight the Demon King in her role as the Sage of Spirit long ago.

When she was struck down in battle, she used her powers to preserve her spirit in the Purah Pad. She feels responsible for a Zonai secret stone giving rise to the Demon King and swore to Zelda she would do everything in her power to defeat him in the present day.",-,-,Zonai,Dm_Npc_Raumi,20
FALSE,Master Kohga,Leader of the Yiga Clan,"Head of the Yiga Clan, an organization with a grudge against Hyrule. His grandiosity and inexplicable charisma inspire passionate loyalty. Originally thought to have been killed in battle with Link, he survived after falling into the depths of the world.

Burning with ambition to join the ""Magnificent One"" and guide the world to its end, he has sent his acolytes to all corners of Hyrule.",-,-,Hylian (Sheikah),Enemy_Assassin_Senior,21
FALSE,Demon King Ganondorf,The Menace Unleashed,"An evil man who lived long ago in the era of Hyrule's founding. His legend claims that this Gerudo man fed his bottomless ambition with great power and became a king of demons.

He was imprisoned beneath Hyrule Castle for ages, but the magic holding him weakened when the castle was damaged during the Calamity a century ago, and his power has steadily been growing since. Now he has revived as a threat beyond the knowledge of any.",-,-,Gerudo,Enemy_Ganondorf,22
