Name,Type,Giver,Location,Material Required 1,Material Amount 1,Material Required 2,Material Amount 2,Material Required 3,Material Amount 3,Caption Start,Caption 2,Caption 3,Caption 4,Caption 5,Caption 6,Caption 7,Caption 8,Caption 9,Caption 10,Caption 11,Caption 12,Caption 13,Caption 14,Caption 15,Caption 16,Caption 17,Caption Complete,Shrine,ID,Menu Order,SortIndex,Type Sort
Yunobo of Goron City,Main Quest,Yunobo,Goron City,-,-,-,-,-,-,"Many of the Gorons in Goron City are
ravenously eating marbled rock roast. Yunobo
and a blond woman seem to be involved with
this new rock.

Yunobo and the others are now headed for
YunoboCo HQ to look into some marbled
rock roast business.","Yunobo came back to his senses. Working 
together, everyone safely escaped the cave.

If you go to Death Mountain, where Princess
Zelda and Yunobo last met, you may be
able to find a lead.","Just as you caught sight of Zelda at
Death Mountain's crater, a massive red rock
monster appeared from the crater, blocking
your entry.

In order to follow after Zelda, you must defeat
the monster.","You defeated the monster that emerged from
Death Mountain's crater, but Princess Zelda
was nowhere to be seen. Worried that she may
have fallen into the caldera, Yunobo dove into
the crater.","An area flowing with lava is at the bottom of
the crater. While taking it all in, you heard a
mysterious voice call to you, saying, ""Come.""

A large structure stands in the distance.
The voice sounded like it was coming from
that direction.","Guided by a mysterious voice, you arrived at a
massive structure.

You spotted Princess Zelda again before losing
sight of her near the entrance.","Princess Zelda was sucked into the ceiling
along with the red rocks, and the area is
blocked by iron bars.

If you go to the five places indicated by the
mysterious voice, you may be able to clear
the way.","With Yunobo's assistance, you successfully
unlocked the five locks.

The room where you saw Princess Zelda is
now accessible.","Upon destroying the red rock in the ceiling in an
attempt to rescue Zelda, a large four-legged
monster appeared.

It seems the monster's body is covered in the
same red rocks.","You defeated the four-legged monster, but
Princess Zelda was nowhere to be seen.
Shortly afterward, however, a sparkling stone
fell from the ceiling.

Yunobo is looking at it with wonder.",-,-,-,-,-,-,-,"Upon returning to Goron City, you found that
the marbled rock roast had vanished, and the
Gorons had resumed their usual activities.

Yunobo awakened as the Sage of Fire and is
excited to help you. He has pledged to continue
looking for clues about Princess Zelda.",-,SageOfFire,011,31,01
The Sludge-Covered Statue,Main Quest,Yona,Zora's Domain,-,-,-,-,-,-,"You arrived in Zora's Domain only to find its
people struggling with the sludge falling from
the sky.

The statue in the center of the domain holds
significance to the Zora, and it is dripping with
sludge.",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"You rinsed away the sludge in the center of the
domain, revealing a statue that depicts you
and the venerated Zora prince, Sidon. This
statue is a new symbol of hope for the Zora
people, and they are overjoyed now that it is
properly restored.",-,CleanStatue,012,41,01
The Broken Slate,Main Quest,Jiahto,Toto Lake,-,-,-,-,-,-,"When you spoke with the historian Jiahto, he
told you he discovered an old Zora slate.
There is information related to the sky written
there, but the slate is broken and the full
meaning is unclear.

This could be a clue to finding Princess Zelda.
There must be some way to decipher it...",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"It reads: ""Stand upon the land of the sky fish,
and behold its lofty view. Among the floating
rocks you see, a droplet waits for you. Through
this droplet, shoot an arrow with the mark of the
king. Do this task, and you shall reveal a most
wondrous thing. See the watery bridge's resting
spot with your own two eyes...that which
connects the Zora to the people of the skies.""",-,DividedSlate,013,42,01
Restoring the Zora Armor,Main Quest,Yona,Zora's Domain,Ancient Arowana,1,-,-,-,-,"If you wear the Zora armor, you can swim up
waterfalls. Yona is certain this will be a useful
tool for your adventure.

However, it seems an elusive fish called the
ancient arowana is needed to finish repairing
the Zora armor. If you find an ancient arowana,
you should bring it to Yona.",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Yona used the ancient arowana you gave her
to fix the Zora armor. With this armor, you can
climb up waterfalls.",-,RepairArmor,014,44,01
Clues to the Sky,Main Quest,Jiahto,Toto Lake,-,-,-,-,-,-,"""Stand upon the land of the sky fish, and
behold its lofty view. Among the floating rocks
you see, a droplet waits for you. Through this
droplet shoot an arrow with the mark of the
king. Do this task, and you shall reveal a most
wondrous thing."" You deciphered a clue for
finding the watery bridge. Jiahto suggests
speaking with King Dorephan about the mark.","You overhead from the children in Zora's
Domain that King Dorephan is at the Pristine
Sanctum. It sounds like there is a secret
entrance behind a clean waterfall somewhere
between Ploymus Mountain and the domain.

Could it be, as Jiahto says, that King Dorephan
knows something about the mark of the king?","""Stand upon the land of the sky fish, and
behold its lofty view. Among the floating rocks
you see, a droplet waits for you. Through this
droplet shoot an arrow with the mark of the
king. Do this task, and you shall reveal a most
wondrous thing."" You learned the mark of the
king is the Zora king's scale. But what of the
land of the sky fish and droplet?",-,-,-,-,-,-,-,-,-,-,-,-,-,-,"When you shot the mark of the king into the
droplet visible from the land of the sky fish, a
pillar of light appeared in the reservoir in the
eastern part of the domain.

If the writing on the ancient stone slate is
correct, this should indicate the hiding place
of the watery bridge.",-,WaterBridgePlace,015,45,01
Sidon of the Zora,Main Quest,Yona,Zora's Domain,-,-,-,-,-,-,"After the Upheaval, sludge started pouring from
the sky around Zora's Domain. That foul
gunk has caused much suffering.

Yona, the Zora prince's fiancée, filled you in on
the troubles at the domain. She asked you to
meet with Sidon at Mipha Court on the summit
of Ploymus Mountain.","You met with Sidon at Mipha Court. He has a
hunch that the cause of the sludge is in the
sky. In his search for answers, he ordered the
Zora historian Jiahto to investigate ancient
documents and the fallen ruins.

Speaking with Jiahto at Toto Lake may yield
information about Princess Zelda.","Speaking with Jiahto and the Zora children led
you to King Dorephan, who was injured when a
Princess Zelda look-alike loosed a monster
upon him. The phenomena troubling the Zora—
the sludge, the monster, the princess—all seem
connected to the sky.

Sidon will be eager to hear this news.","You encountered King Dorephan in the
Pristine Sanctum. He was injured when a
Princess Zelda look-alike loosed a monster
upon him. It seems that all of it—the sludge,
the monster, Princess Zelda—is somehow
connected to the sky.

Sidon will be eager to hear this news.","You relayed King Dorephan's story to Sidon.
Both Princess Zelda's trail and the destructive
sludge connect to the sky above the domain.

Your objectives align with Sidon's. If you find a
clue about the watery bridge connecting the
Zora to the sky, you should let him know.","A pillar of light appeared at East Reservoir Lake.
The clues you gathered from the repaired stone
slate suggest this will lead you to the
watery bridge.

Sidon will want to hear about this. You can
find him at Mipha Court.","When you told Sidon about the pillar of light
at East Reservoir Lake, a sludge monster
attacked.

Work with Sidon to repel the fiend.","You defeated the monster with Sidon's aid.
Yona pushed the prince to confront his fear of
loss, and he rose to the occasion. He is ready
to investigate the watery bridge with you.

Sidon will wait for you near the pillar of light
that appeared in East Reservoir Lake.","Sidon used his impressive swimming prowess to
create a whirlpool in the lake, revealing some
kind of entrance on the lake bed.

This may lead to clues about the watery bridge.
Jump into the whirlpool and investigate.","Upon jumping into the whirlpool, you found a
vast space filled with ancient ruins.

You may find a clue about the watery bridge
among them.","When you activated a mysterious device in the
Ancient Zora Waterworks, water cascaded from
the ruins high above to make a giant waterfall.

Even a Hylian can climb waterfalls by wearing
the Zora armor, which Yona tasked herself
with repairing...","When you activated a mysterious device in the
Ancient Zora Waterworks, a jet of water erupted
from the ruins high above.

Even a Hylian could climb the resulting waterfall
by wearing the Zora armor.","After climbing the waterfall and entering the
ruins, you found the source of the sludge
plaguing the Zora.

Sidon suggested that it may be possible to
wash away the foul substance using the
water in the enormous water vessels.","Resolving to explore the sky island, you arrived
at some vast ruins that may hide the answers
you seek.

Follow Sidon, who went on ahead.","You poured water from the vessels on the
sludge, but it was inadequate to cleanse the
area. It seems even more water is needed.
A mysterious voice indicated locations that
may be of assistance.

Work with Sidon to open all of the faucets.","When you washed away the sludge with the
water vessels, a monster suddenly emerged
from the muck. This must be the culprit behind
the sludge!

It's time to work with Sidon to finish this.","You combined forces with Sidon to defeat the
monster producing the sludge. What remained
of the substance dispersed, taking the threat to
the Zora along with it.

Sidon was left gazing at the strange stone that
appeared when the sludge vanished.","With the defeat of the fiend responsible for
the sludge, the trouble afflicting the region
was resolved. At the same time, Sidon
awakened as a sage.

He promised to rally the domain to assist you,
declaring that it's now the Zora's turn to help
their hero.",-,SageOfZora,016,46,01
Riju of Gerudo Town,Main Quest,Riju,Gerudo Town,-,-,-,-,-,-,"Gerudo Town has been beset by an ominous
sand shroud, forcing the people there to retreat
to an underground shelter.

Chief Riju, however, was nowhere to be seen.
Fortunately, Buliara informed you that the
Gerudo leader had gone to the North Gerudo
Ruins to train.","Upon visiting the North Gerudo Ruins, you
found Riju focused on her training.

You should help her practice her lightning strike.","Riju was able to strike the targets with her
lightning when you used your arrows to guide
her. Shortly after, a strange sound was heard,
and then a messenger arrived with news of an
attack on Kara Kara Bazaar.

Follow Riju to Kara Kara Bazaar, northeast of
Gerudo Town.","You arrived at Kara Kara Bazaar to find the
battle underway. Riju demonstrated the results
of her training, saving Buliara with her lightning.

Fight alongside Riju and defeat the Gibdos!","Moments after you defeated the monsters
attacking Kara Kara Bazaar, Zelda suddenly
appeared in the distance, along with strange
tornadoes surrounding Gerudo Town. Zelda set
out in the direction of the town but quickly
vanished from sight.

Join Riju and the others back at Gerudo Town.","Gibdo hives appeared from within the sand
shroud. While the hives and the tornadoes
loomed ominously over Gerudo Town, a
mysterious voice reached out to you once
more, beckoning you.

Though this is important, you should continue
to work with Riju and the others.","A swarm of Gibdos have appeared from within
the hives that surround Gerudo Town.

Protect Riju and save Gerudo Town!","Fighting alongside the Gerudo soldiers,
you defeated the swarm of Gibdos pouring
from the hives that threatened Gerudo Town.

Seek out Riju, who asked you to meet her at
a mural in the underground shelter beneath
the town.","The mural you saw in the Gerudo shelter said:
""Standing back-to-back with the throne,
witness red pillars across a vast sea. Unite the
pillars in light to reveal the lightning stone and
open the way. You who can hear my voice,
come to me. I await you.""

Riju thinks the voice and mural are connected.","When you shined a light on each of the ancient
pillars, the bright beams formed a huge triangle.

Based on the mural you saw in the shelter
beneath Gerudo Town, something should have
been revealed, perhaps at the center...","When Riju struck the mechanism with one of her
lightning strikes, a temple appeared. Maybe the
owner of the mysterious voice is inside?

You should investigate the interior.","A stone emitting some sort of strange light
appeared when the massive monster—the
source of the sand shroud—was defeated.

Riju is staring at the stone, but what could be
going through her mind?",-,-,-,-,-,"Riju touched the secret stone and listened to
her ancient ancestor. A new power awakened
in her, and she became the Sage of Lightning.
With the monster defeated, the sand shroud in
the Gerudo region vanished.

Questions surround Princess Zelda in both past
and present, but Riju promised to investigate.",-,SageOfGerudo,017,51,01
Secret of the Ring Ruins,Main Quest,Tauro,Kakariko Village,Zonai Charge,1,-,-,-,-,"After you told Paya and Tauro about the false
Princess Zelda, they began exploring the Ring
Ruin previously forbidden by the impostor.
They believe there is a stone slab carved with
Zonai writing inside.

Entering the site and investigating the slab will
assist their research.","You deciphered the Zonai text carved in the
stone slab inside the Ring Ruin. Tauro and
his colleague are following a lead to the Zonai
Ruins in balmy Faron in the southeast.

They're gathering at the Skyview Tower near
the ruins.","You traveled to the Skyview Tower in the
Popla Foothills.

Calip, who industriously assembled the team's
base of operations, informed you that Tauro
planned to start investigating the Zonai Ruins
to the southeast by Dracozu Lake.","You reunited with Tauro in ruins presided over
by stone dragon statues. Tauro deciphered the
code found on an ancient mural in the ruins:

Wear the electric garb hidden at long-necked
dragons along the wide-mouthed forest serpent.
Offer a Zonai charge to the altar at the tail.","You donned the charged attire found in the
dragon-pillar ruins and offered a Zonai charge
at the altar.

A fork of lightning heralded the appearance of
a new sky island.","You opened the door on Dragonhead Island.

Inside, you discovered what appears to be a
Zonai relic on a pedestal in the center of
the chamber.",-,-,-,-,-,-,-,-,-,-,-,"The floor of the chamber on Dragonhead Island
opened when you touched the relic. After the
relic fired a beam of green light to the ground,
you heard a mysterious voice in your head:

""Link... Chosen protector of Zelda... Take this...
Follow the light...""",-,GotoFironeZonauRemains,018,61,01
Guidance from Ages Past,Main Quest,Zonai Relic,Dragonhead Island,-,-,-,-,-,-,"You found a strange relic on Dragonhead Island
that emitted a narrow beam of light. The beam
appears to extend straight down to the surface.

When you touched the relic, a mysterious voice
said to take it and ""follow the light.""","The relic's light guided you to a hidden path
that led underground.

From there, the relic started emitting the beam
again, leading you down the path.","When you placed the relic on a pedestal in the
underground chamber, a path opened into the
Depths. The mysterious voice spoke again,
saying, ""You must hurry... We must meet as
soon as possible."" When you arrived in a vast
space within the Depths, the relic began to emit
another beam to guide you toward the ruins.","Within the vast ruins was a pedestal with a
hollow carved out in the shape of a person.
When you placed the relic where the head
would go, the voice spoke again. Calling herself
Mineru, the Sage of Spirit, she asked you to
visit four depots for the parts to build a body
that could house her spirit, allowing you to truly
meet her.","When you placed the parts collected from the
four depots in the pedestal, they connected and
came to life as a large construct. Mineru's voice
then asked you to bring her to the secret stone
of spirit using the power of the construct.

From Mineru's voice, you learned the location
of the secret stone.","Alongside the construct, you headed to the
Temple of Spirit, where the secret stone is
housed. Another construct, animated by the
Demon King's magic, awaited you there.

You must vanquish this construct to claim the
secret stone of spirit.","You vanquished the construct animated by the
Demon King's magic. The remains of that
construct, built by Mineru long ago, vanished
along with the gloom filling the temple.

The secret stone of spirit sparkles atop
the altar.",-,-,-,-,-,-,-,-,-,-,"At last you met the voice's owner, Mineru, the
Sage of Spirit. She transferred her spirit from
the Purah Pad, where it had resided, into the
secret stone. She told you of a battle with the
Demon King in the distant past, known as the
Imprisoning War, and of Princess Zelda's
resolve to restore the Master Sword. Mineru's
spirit will aid you in the construct she inhabits.",-,SageOfSoul,019,62,01
Camera Work in the Depths,Main Quest,Josha,Lookout Landing,-,-,-,-,-,-,"Josha showed you an image of a figure on a
piece of slate from the Depths. She thinks it's
evidence of a people that once lived there.
Robbie said he'd go to the Depths to find her
anything that shows another such figure. He
wants you there to take a picture of it with the
Purah Pad's camera, if necessary. Join him at
the chasm south of Lookout Landing.","You found Robbie inside the chasm, down in
the Depths. He unlocked your camera and 
asked you to give it a try, by taking a picture
of a nearby statue. 

The statue seems to be very similar to the
figure on the slate fragment that Josha
is studying.","You took a picture of the statue, and Robbie
said it captured the mysterious figure well.

Head to Lookout Landing and show the picture
to Josha.",-,-,-,-,-,-,-,-,-,-,-,-,-,-,"You returned to Lookout Landing with your
picture of the statue. Josha said you'd made
a big discovery that could lead to truly
understanding what the Depths are.

She's going to search through what others have
found in the Depths, hoping to find more slate
fragments with these mysterious people.",-,GetCamera,020,71,01
A Mystery in the Depths,Main Quest,Josha,Lookout Landing,-,-,-,-,-,-,"Josha is looking for help to investigate the
Depths due to a new discovery. She said
you've come at a perfect time and has
selected you to help her.

Go with Josha to hear more about the
upcoming investigation.","Josha pieced together a large mural from
fragments to complete a picture that might
show a series of statues in the Depths.

Each one looks toward the next, until the last
gazes at a temple-like building that's the focal
point of the mural. Josha thinks this place may
be real and hold a special Zonai power.","Just as Josha thought, when you went where
each statue was looking in the Depths, you
found your way to a temple-like building. There
you acquired the Zonai ability Autobuild.

Report your discovery to Josha at
Lookout Landing.","When you shared Autobuild with Josha, she
expressed that she wants to see the power
in action.

She asked you to use Autobuild to repair
the broken balloon at Lookout Landing.",-,-,-,-,-,-,-,-,-,-,-,-,-,"With the help of Autobuild, you fixed the
broken balloon. Both Josha and Robbie were
impressed. The results of this investigation
reaffirmed the importance of the Depths to
Josha. She has asked you to let her know if you
make any new discoveries in the Depths.",-,DeepHoleSurvey2,021,72,01
